organisation_id,survey_data_id,ecd_name,center_type_name,center_active,name_of_contact_person,phone_number_contact_person,group_village_head,district,ecd_code,cbcc_code,name_data_collector,date_data_collection,parliamentary_constituency,village,traditional_authority,name_nearest_town_trading_center,latitude,longitude,global_positioning_system_eastings,global_positioning_system_northings,non_governmental_organisation_supporting_ecd,community_based_organisation_supporting_ecd,caregivers_male,caregivers_female,caregivers_total,trained_caregivers_male,trained_caregivers_female,trained_caregivers_total,untrained_caregivers_male,untrained_caregivers_female,untrained_caregivers_total,dropped_care_givers_3_years_male,dropped_care_givers_3_years_female,dropped_care_givers_3_years_total,parent_committee_members_male,parent_committee_members_female,parent_committee_members_total,dropped_trained_caregivers_3_years_male,dropped_trained_caregivers_3_years_female,dropped_trained_caregivers_3_years_total,registered_male,registered_female,registered_total,attendance_visit_day_male,attendance_visit_day_female,attendance_visit_day_total,transition_primary_school_male,transition_primary_school_female,transition_primary_school_total,orphan_male,orphan_female,orphan_total,special_needs_male,special_needs_female,special_needs_total,ecd_structure,structure_type_name,class_room_number,has_toilet,toilet_number,toilet_child_friendly,has_water_supply,water_source_type_name,distance_to_water_source_meters,has_garden,garden_size_acres,irrigable_dimba_land,irrigable_dimba_land_size_acres,has_feeding_program,has_kitchen,has_store_room,has_outdoor_materials,has_eating_utensils,distance_nearest_health_primary_school,primary_school_name,distance_nearest_health_facility_kilometers,health_facility_name,observation,logs,ta
87,1251,NGONGOMWA CBCC,,,CG,997642444,Jameson,Blantyre,,30501089,J. Mayumba,13-Jun-13,,Nzilika,Kapeni,Lunzu,-15.608771,35.036636,718361,8273294,,Chinasungwi,0,3,3,0,2,2,0,1,1,0,0,0,2,8,10,10,0,10,20,23,43,11,10,21,2,3,5,0,0,0,1,0,1,0,Temporary,1,0,,0,1,Borehole,1000,1,0.5,1,0.5,1,0,0,0,0,2,,4,,,,
87,1248,NAMWIRI CBCC,,,CG,8822225162,Jameson,Blantyre,,30501086,J. Manyumba,13-Jun-13,,Maleule,Kapeni,Lunzu,-15.588563,35.032869,717978,8275535,,Chinasungwi,0,3,3,0,2,2,0,1,1,0,0,0,2,8,10,10,0,10,28,32,60,16,18,34,4,6,10,2,1,3,0,0,0,0,Temporary,1,0,,0,1,Borehole,100,1,1,1,0.25,0,0,0,0,0,1,,4,,,,
87,1247,MLAMBE CBCC,,,CG,992049296,Jameson,Blantyre,,30501085,J. Manyumba,13-Jun-13,,Kajawo,Kapeni,Lunzu,-15.596346,35.026215,717256,8274680,,Chinasungwi,0,3,3,0,3,3,0,0,0,1,9,10,10,0,10,0,0,0,10,18,28,9,6,15,4,2,6,0,2,2,0,0,0,0,,,0,,0,1,Borehole,500,1,2,1,1,1,0,0,0,0,0.5,,6,,,,
87,1249,MAKWALE CBCC,,,CG,998290501,Jameson,Blantyre,,30501087,J. Manyumba,13-Jun-13,,Makwale,Kapeni,Lunzu,-15.600743,35.03546,718243,8274184,,Chinasungwi,0,4,4,0,2,2,0,2,2,0,0,0,3,7,10,10,0,10,20,30,50,19,14,33,5,5,10,2,3,5,0,0,0,0,Temporary,1,0,,0,1,Borehole,1000,1,1,0,,1,0,0,0,1,2,,6,,,,
87,1250,MADZIACHERE CBCC,,,CG,884405872,Jameson,Blantyre,,30501088,J. Mayumba,13-Jun-13,,Salanje,Kapeni,Lunzu,-15.60692,35.044926,719252,8273491,,Chinasungwi,0,2,2,0,0,0,0,2,2,0,0,0,2,8,10,10,0,10,10,10,20,10,9,19,4,8,12,2,3,5,0,0,0,0,Temporary,1,0,,0,1,Borehole,50,1,1,0,,0,1,1,1,1,3,,7,,,,
87,1237,KASUPE CBCC,,,CG,997643086,Jameson,Blantyre,,30501075,J. Manyumba,13-Jun-13,,Jameson B,Kapeni,Lunzu,-15.579227,35.015699,716146,8276585,Save The Children,Chiwande,0,6,6,0,3,3,0,3,3,0,0,0,4,6,10,10,0,10,35,30,65,0,0,0,7,7,14,12,5,17,1,0,1,0,Permanent,2,1,2,1,1,Borehole,50,1,1.5,1,0.5,1,1,1,1,1,1,,4,,,,
87,1246,KANJEDZA CBCC,,,CG,997643084,Jameson,Blantyre,,30501084,J. Mayumba,13-Jun-13,,Masanga0,Kapeni,Lunzu,-15.596308,35.018174,716394,8274692,,Chinasungwi,0,3,3,0,0,0,0,3,3,0,0,0,4,6,10,10,0,10,14,18,32,6,12,18,2,4,6,3,6,9,0,0,0,0,Semi Permanent,1,1,1,0,1,Borehole,20,1,0.5,0,,1,1,1,0,1,2,,4,,,,
87,1234,KADANGO CBCC,,,CG,991361830,Jameson,Blantyre,,30501072,J.Manyumba,14-Jun-13,,Njilika,Kapeni,Lunzu,-15.610978,35.027201,717347,8273060,,Chinasungwi,0,2,2,0,0,0,0,1,1,0,0,0,2,8,10,0,0,0,25,15,40,11,6,17,1,5,6,6,4,10,0,0,0,0,,,0,,0,0,,,1,1,1,0.5,0,0,0,0,0,3,,4,,,,
87,1245,CHINASUNGWI CBCC,,,CG,999159903,Jameson,Blantyre,,30501083,J. Manyumba,13-Jun-13,,Cedrick,Kapeni,Lunzu,-15.594826,35.005562,715043,8274869,AQVAID LIFELINE,Chinasungwi,0,3,3,0,2,2,0,1,1,0,0,0,1,9,10,10,0,10,45,47,92,8,15,23,23,40,63,3,5,8,0,0,0,0,Permanent,3,1,3,1,1,Borehole,20,1,5,1,1,1,1,1,1,1,4,,14,,,,
87,1242,CHIKHALA CBCC,,,CG,997640664,Jameson,Blantyre,,30501080,J.Manjumba,13-Jun-13,,Chikhala,Kapeni,Lunzu,-15.574959,35.042408,719016,8277030,,Chiwande,0,5,5,0,0,0,0,5,5,0,0,0,4,6,10,10,0,10,30,45,75,11,31,42,5,15,20,10,10,20,0,0,0,0,Permanent,2,1,2,1,1,Borehole,1000,1,1,1,1,0,1,1,1,0,1,,7,,The CCBC has 0 Access to clean water,,
87,1418,TIYAMIKE SOLOMONI CBCC,,,CG,995852965,Jeweta,Blantyre,,30506147,T. Limbani,07-Sep-13,,Zinjanguwo,Kuntaja,Sigerege,-15.675455,34.944514,708413,8266007,,Umodzi Craft Organization,0,0,0,0,0,0,0,0,0,0,2,2,0,10,10,0,0,0,34,50,84,13,17,30,15,10,25,13,17,30,0,2,2,0,Permanent,1,1,2,1,1,Borehole,50,1,,1,,0,1,1,0,1,0.4,,8,,There is lucky of play materials,,
87,1286,MULUNGU NDIWABWI0 CBCC,,,CG,888689277,Jeweta,Blantyre,,30506015,T. Limbani,24-Jul-13,,Mzigala,Kuntaja,Sigerege,-15.773018,34.957513,709707,8255197,,Umodzi Craft Organization,0,6,6,0,6,6,0,6,6,0,1,1,3,3,6,1,0,1,30,50,80,24,40,64,9,12,21,29,31,60,0,0,0,0,Permanent,1,1,1,1,1,Borehole,50,1,0.01,0,,0,1,1,1,1,4,,10,,People are well committed to their job,,
